Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Journal Article,13,Margaret,Anne,McConnell,Simone Passarelli; Ramya Ambikapathi; Nilupa S Gunaratna; Isabel Madzorera; Chelsey R Canavan; Ramadhani Abdallah Noor; Dagmawit Tewahido; Yemane Berhane; Simbarashe Sibanda; Lindiwe Majele Sibanda; Tshilidzi Madzivhandila; Bertha L M Munthali; Margaret McConnell; Christopher Sudfeld; Kirsten Davison; Wafaie Fawzi,The role of chicken management practices in children's exposure to environmental contamination: a mixed-methods analysis,BMC Public Health,No,21.0,1,1907,June,,,2021,https://pubmed.ncbi.nlm.nih.gov/34103022/,,,Is the page number correct?,,,,,,,,,Summer - Kiki,,abstract-content selected,06/01/2021,Yes,"Passarelli Simone, Ramya Ambikapathi, Nilupa S Gunaratna, Isabel Madzorera, Chelsey R Canavan, Ramadhani Abdallah Noor, Dagmawit Tewahido, Yemane Berhane, Simbarashe Sibanda, Lindiwe Majele Sibanda, Tshilidzi Madzivhandila, Bertha L M Munthali, Margaret McConnell, Christopher Sudfeld, Kirsten Davison and Wafaie Fawzi","Passarelli Simone, Ramya Ambikapathi, Nilupa S Gunaratna, Isabel Madzorera, Chelsey R Canavan, Ramadhani Abdallah Noor, Dagmawit Tewahido, Yemane Berhane, Simbarashe Sibanda, Lindiwe Majele Sibanda, Tshilidzi Madzivhandila, Bertha L M Munthali, Margaret McConnell, Christopher Sudfeld, Kirsten Davison and Wafaie Fawzi. 2021. The role of chicken management practices in children's exposure to environmental contamination: a mixed-methods analysis. BMC Public Health 21.0, no. 1 (June): 1907."
,Journal Article,31,Kevin,,Croke,Kevin Croke; Anna Gage; Isabel Fulcher; Kennedy Opondo; Jacinta Nzinga; Benjamin Tsofa; Sebastien Haneuse; Margaret Kruk,"Service Delivery Reform for Maternal and Newborn Health in Kakamega County, Kenya: Study Protocol for a Prospective Impact Evaluation and Implementation Science Study",BMC Public Health,No,22.0,1727,,,,,2022,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-13578-y,No quarter/month or page numbers.,,,,,,,,,,,Summer - Kiki,,,01/01/2022,Yes,"Croke Kevin, Anna Gage, Isabel Fulcher, Kennedy Opondo, Jacinta Nzinga, Benjamin Tsofa, Sebastien Haneuse and Margaret Kruk","Croke Kevin, Anna Gage, Isabel Fulcher, Kennedy Opondo, Jacinta Nzinga, Benjamin Tsofa, Sebastien Haneuse and Margaret Kruk. 2022. Service Delivery Reform for Maternal and Newborn Health in Kakamega County, Kenya: Study Protocol for a Prospective Impact Evaluation and Implementation Science Study. BMC Public Health 22.0, no. 1727 (nan): nan."
,Journal Article,36,Marcia,,Castro,Ana Luiza Penna; Camila Machado de Aquino; Maria Suelly Nogueira Pinheiro; Rodrigo Leão Ferreira do Nascimento; Simone Farias-Antúnez; David Augusto Batista Sá Araújo; Carol Mita; Marcia Maria Tavares Machado; Marcia C Castro,"Impact of the COVID-19 pandemic on maternal mental health, early childhood development, and parental practices: a global scoping review",BMC Public Health,No,23.0,1,388,February,,,2023,https://pubmed.ncbi.nlm.nih.gov/36823592/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,02/01/2023,Yes,"Penna Ana Luiza, Camila Machado de Aquino, Maria Suelly Nogueira Pinheiro, Rodrigo Leão Ferreira do Nascimento, Simone Farias-Antúnez, David Augusto Batista Sá Araújo, Carol Mita, Marcia Maria Tavares Machado and Marcia C Castro","Penna Ana Luiza, Camila Machado de Aquino, Maria Suelly Nogueira Pinheiro, Rodrigo Leão Ferreira do Nascimento, Simone Farias-Antúnez, David Augusto Batista Sá Araújo, Carol Mita, Marcia Maria Tavares Machado and Marcia C Castro. 2023. Impact of the COVID-19 pandemic on maternal mental health, early childhood development, and parental practices: a global scoping review. BMC Public Health 23.0, no. 1 (February): 388."
,Journal Article,59,Ana,,Langer,Jewel Gausman; Fauzia Akhter Huda; Areej Othman; Maysoon Al Atoom; Abeer Shaheen; Iqbal Hamad; Maysoon Dabobe; Hassan Rushekh Mahmood; Rifah Ibnat; Ana Langer,Girl child marriage and the social context of displacement: a qualitative comparative exploration of Syrian refugees in Jordan and Rohingya refugees in Bangladesh,BMC Public Health,No,22.0,1,2417,September,,,2022,https://pubmed.ncbi.nlm.nih.gov/36550423/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,09/01/2022,Yes,"Gausman Jewel, Fauzia Akhter Huda, Areej Othman, Maysoon Al Atoom, Abeer Shaheen, Iqbal Hamad, Maysoon Dabobe, Hassan Rushekh Mahmood, Rifah Ibnat and Ana Langer","Gausman Jewel, Fauzia Akhter Huda, Areej Othman, Maysoon Al Atoom, Abeer Shaheen, Iqbal Hamad, Maysoon Dabobe, Hassan Rushekh Mahmood, Rifah Ibnat and Ana Langer. 2022. Girl child marriage and the social context of displacement: a qualitative comparative exploration of Syrian refugees in Jordan and Rohingya refugees in Bangladesh. BMC Public Health 22.0, no. 1 (September): 2417."
,Journal Article,60,Phuong,,Pham,Cara M Antonaccio; Phuong Pham; Patrick Vinck; Katharine Collet; Robert T Brennan; Theresa S Betancourt,"Fear, distress, and perceived risk shape stigma toward Ebola survivors: a prospective longitudinal study",BMC Public Health,No,21.0,1,2066,November,,,2021,https://pubmed.ncbi.nlm.nih.gov/34763704/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,11/01/2021,Yes,"Antonaccio Cara M, Phuong Pham, Patrick Vinck, Katharine Collet, Robert T Brennan and Theresa S Betancourt","Antonaccio Cara M, Phuong Pham, Patrick Vinck, Katharine Collet, Robert T Brennan and Theresa S Betancourt. 2021. Fear, distress, and perceived risk shape stigma toward Ebola survivors: a prospective longitudinal study. BMC Public Health 21.0, no. 1 (November): 2066."
,Journal Article,60,Phuong,,Pham,Phuong N Pham; Laila Fozouni; Abdulrazzaq Al-Saiedi; Kevin Coughlin; Patrick Vinck,Association between distress and displacement settings: a cross-sectional survey among displaced Yazidis in northern Iraq,BMC Public Health,No,21.0,1,679,April,,,2021,https://pubmed.ncbi.nlm.nih.gov/33827517/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,04/01/2021,Yes,"Pham Phuong N, Laila Fozouni, Abdulrazzaq Al-Saiedi, Kevin Coughlin and Patrick Vinck","Pham Phuong N, Laila Fozouni, Abdulrazzaq Al-Saiedi, Kevin Coughlin and Patrick Vinck. 2021. Association between distress and displacement settings: a cross-sectional survey among displaced Yazidis in northern Iraq. BMC Public Health 21.0, no. 1 (April): 679."
,Journal Article,61,Margaret,Elizabeth,Kruk,Kevin Croke; Anna Gage; Isabel Fulcher; Kennedy Opondo; Jacinta Nzinga; Benjamin Tsofa; Sebastien Haneuse; Margaret Kruk,"Service delivery reform for maternal and newborn health in Kakamega County, Kenya: study protocol for a prospective impact evaluation and implementation science study",BMC Public Health,No,22.0,1,1727,September,,,2022,https://pubmed.ncbi.nlm.nih.gov/36096770/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,09/01/2022,Yes,"Croke Kevin, Anna Gage, Isabel Fulcher, Kennedy Opondo, Jacinta Nzinga, Benjamin Tsofa, Sebastien Haneuse and Margaret Kruk","Croke Kevin, Anna Gage, Isabel Fulcher, Kennedy Opondo, Jacinta Nzinga, Benjamin Tsofa, Sebastien Haneuse and Margaret Kruk. 2022. Service delivery reform for maternal and newborn health in Kakamega County, Kenya: study protocol for a prospective impact evaluation and implementation science study. BMC Public Health 22.0, no. 1 (September): 1727."
,Journal Article,84,David,,Bloom,Joyita Banerjee; Sarah Petrosyan; Abhijith R Rao; Steffi Jacob; Pranali Yogiraj Khobragade; Bas Weerman; Sandy Chien; Marco Angrisani; Arunika Agarwal; Nirupam Madan; Tanya Sethi; Sharmistha Dey; Simone Schaner; David E Bloom; Jinkook Lee; A B Dey,Cohort Profile: Real-Time Insights of COVID-19 in India (RTI COVID-India),BMC Public Health,,23.0,1,,Febuary,,,2023,https://pubmed.ncbi.nlm.nih.gov/36759802/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,,Yes,"Banerjee Joyita, Sarah Petrosyan, Abhijith R Rao, Steffi Jacob, Pranali Yogiraj Khobragade, Bas Weerman, Sandy Chien, Marco Angrisani, Arunika Agarwal, Nirupam Madan, Tanya Sethi, Sharmistha Dey, Simone Schaner, David E Bloom, Jinkook Lee and A B Dey","Banerjee Joyita, Sarah Petrosyan, Abhijith R Rao, Steffi Jacob, Pranali Yogiraj Khobragade, Bas Weerman, Sandy Chien, Marco Angrisani, Arunika Agarwal, Nirupam Madan, Tanya Sethi, Sharmistha Dey, Simone Schaner, David E Bloom, Jinkook Lee and A B Dey. 2023. Cohort Profile: Real-Time Insights of COVID-19 in India (RTI COVID-India). BMC Public Health 23.0, no. 1 (Febuary): nan."
,Journal Article,119,Goodarz,,Danaei,Poggio Rosana; Goodarz Danaei; Laura Gutierrez; Ana Cavallo; María Victoria Lopez; Vilma Irazola,An innovative approach to improve the detection and treatment of risk factors in poor urban settings: a feasibility study in Argentina,BMC Public Health,,21.0,1,,March,,,2021,https://pubmed.ncbi.nlm.nih.gov/33752644/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,03/01/2021,Yes,"Rosana Poggio, Goodarz Danaei, Laura Gutierrez, Ana Cavallo, María Victoria Lopez and Vilma Irazola","Rosana Poggio, Goodarz Danaei, Laura Gutierrez, Ana Cavallo, María Victoria Lopez and Vilma Irazola. 2021. An innovative approach to improve the detection and treatment of risk factors in poor urban settings: a feasibility study in Argentina. BMC Public Health 21.0, no. 1 (March): nan."
,Journal Article,119,Goodarz,,Danaei,Samson Okello; Alfa Muhihi; Shukri F Mohamed; Soter Ameh; Caleb Ochimana; Abayomi Olabayo Oluwasanu; Oladimeji Akeem Bolarinwa; Nelson Sewankambo; Goodarz Danaei,"Hypertension prevalence, awareness, treatment, and control and predicted 10-year CVD risk: a cross-sectional study of seven communities in East and West Africa (SevenCEWA)",BMC Public Health,,20.0,1,,November,,,2020,https://pubmed.ncbi.nlm.nih.gov/33187491/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,11/01/2020,Yes,"Okello Samson, Alfa Muhihi, Shukri F Mohamed, Soter Ameh, Caleb Ochimana, Abayomi Olabayo Oluwasanu, Oladimeji Akeem Bolarinwa, Nelson Sewankambo and Goodarz Danaei","Okello Samson, Alfa Muhihi, Shukri F Mohamed, Soter Ameh, Caleb Ochimana, Abayomi Olabayo Oluwasanu, Oladimeji Akeem Bolarinwa, Nelson Sewankambo and Goodarz Danaei. 2020. Hypertension prevalence, awareness, treatment, and control and predicted 10-year CVD risk: a cross-sectional study of seven communities in East and West Africa (SevenCEWA). BMC Public Health 20.0, no. 1 (November): nan."
,Journal Article,124,Christopher,,Golden,Benjamin L. Rice; Christopher D. Golden; Hervet J. Randriamady; Anjaharinony Andry Ny Aina Rakotomalala; Miadana Arisoa Vonona; Evelin Jean Gasta Anjaranirina; James Hazen; Marcia C. Castro; C. Jessica E. Metcalf; Daniel L. Hartl,Fine-scale variation in malaria prevalence across ecological regions in Madagascar: a cross-sectional study,BMC Public Health,,21.0,1,1-13,,,,2021,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-11090-3,,,,,,,,,,,,Summer - Maceo,,,01/01/2021,Yes,"Rice Benjamin L., Christopher D. Golden, Hervet J. Randriamady, Anjaharinony Andry Ny Aina Rakotomalala, Miadana Arisoa Vonona, Evelin Jean Gasta Anjaranirina, James Hazen, Marcia C. Castro, C. Jessica E. Metcalf and Daniel L. Hartl","Rice Benjamin L., Christopher D. Golden, Hervet J. Randriamady, Anjaharinony Andry Ny Aina Rakotomalala, Miadana Arisoa Vonona, Evelin Jean Gasta Anjaranirina, James Hazen, Marcia C. Castro, C. Jessica E. Metcalf and Daniel L. Hartl. 2021. Fine-scale variation in malaria prevalence across ecological regions in Madagascar: a cross-sectional study. BMC Public Health 21.0, no. 1 (nan): 1-13."
,Journal Article,13,Margaret,Anne,McConnell,Junita Henry; Emma Clarke-Deelder; Dan Han; Nora Miller; Kennedy Opondo; Monica Oguttu; Thomas Burke; Jessica L Cohen; Margaret McConnell,Health care providers' knowledge of clinical protocols for postpartum hemorrhage care in Kenya: a cross-sectional study,BMC Pregnancy Childbirth,No,22.0,1,828,November,,,2022,https://pubmed.ncbi.nlm.nih.gov/36357842/,,,Is the page number correct?,,,,,,,,,Summer - Kiki,,abstract-content selected,11/01/2022,Yes,"Henry Junita, Emma Clarke-Deelder, Dan Han, Nora Miller, Kennedy Opondo, Monica Oguttu, Thomas Burke, Jessica L Cohen and Margaret McConnell","Henry Junita, Emma Clarke-Deelder, Dan Han, Nora Miller, Kennedy Opondo, Monica Oguttu, Thomas Burke, Jessica L Cohen and Margaret McConnell. 2022. Health care providers' knowledge of clinical protocols for postpartum hemorrhage care in Kenya: a cross-sectional study. BMC Pregnancy Childbirth 22.0, no. 1 (November): 828."
,Journal Article,3,Jessica,L,Cohen,Junita Henry; Emma Clarke-Deelder; Dan Han; Nora Miller; Kennedy Opondo; Monica Oguttu; Thomas Burke; Jessica L Cohen; Margaret McConnell,Health care providers' knowledge of clinical protocols for postpartum hemorrhage care in Kenya: a cross-sectional study,BMC Pregnancy and Childbirth,No,22.0,1,,November,,,2022,http://www.ncbi.nlm.nih.gov/pubmed/36357842,No page numbers.,,,yes,,,,,,,,Summer - Kiki,,abstract-content selected,11/01/2022,Yes,"Henry Junita, Emma Clarke-Deelder, Dan Han, Nora Miller, Kennedy Opondo, Monica Oguttu, Thomas Burke, Jessica L Cohen and Margaret McConnell","Henry Junita, Emma Clarke-Deelder, Dan Han, Nora Miller, Kennedy Opondo, Monica Oguttu, Thomas Burke, Jessica L Cohen and Margaret McConnell. 2022. Health care providers' knowledge of clinical protocols for postpartum hemorrhage care in Kenya: a cross-sectional study. BMC Pregnancy and Childbirth 22.0, no. 1 (November): nan."
,Journal Article,94,Phyllis,,Kanki,Chika K. Onwuamah; Jonathan Okpokwu; Rosemary Audu; Godwin Imade; Seema T. Meloni; Azuka Okwuraiwe; Philippe Chebu; Adesola Z. Musa; Beth Chaplin; Ibrahim Dalhatu; Oche Agbaji; Jay Samuels; Oliver Ezechi; Mukhtar Ahmed; Georgina Odaibo; David O. Olaleye; Prosper Okonkwo; Babatunde Lawal Salako; Elliot Raizes; Chunfu Yang; Phyllis J. Kanki; Emmanuel O. Idigbe,Low levels of HIV-1 drug resistance mutations in patients who achieved viral re-suppression without regimen switch: a retrospective study,BMC Microbiology,,20.0,1,,January,,,2020,https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-020-1706-1,,,,,,,,,,,,Summer - Maceo,,,01/01/2020,Yes,"Onwuamah Chika K., Jonathan Okpokwu, Rosemary Audu, Godwin Imade, Seema T. Meloni, Azuka Okwuraiwe, Philippe Chebu, Adesola Z. Musa, Beth Chaplin, Ibrahim Dalhatu, Oche Agbaji, Jay Samuels, Oliver Ezechi, Mukhtar Ahmed, Georgina Odaibo, David O. Olaleye, Prosper Okonkwo, Babatunde Lawal Salako, Elliot Raizes, Chunfu Yang, Phyllis J. Kanki and Emmanuel O. Idigbe","Onwuamah Chika K., Jonathan Okpokwu, Rosemary Audu, Godwin Imade, Seema T. Meloni, Azuka Okwuraiwe, Philippe Chebu, Adesola Z. Musa, Beth Chaplin, Ibrahim Dalhatu, Oche Agbaji, Jay Samuels, Oliver Ezechi, Mukhtar Ahmed, Georgina Odaibo, David O. Olaleye, Prosper Okonkwo, Babatunde Lawal Salako, Elliot Raizes, Chunfu Yang, Phyllis J. Kanki and Emmanuel O. Idigbe. 2020. Low levels of HIV-1 drug resistance mutations in patients who achieved viral re-suppression without regimen switch: a retrospective study. BMC Microbiology 20.0, no. 1 (January): nan."
,Journal Article,21,Stephane,,Verguet,Stéphane Verguet; Solomon Tessema Memirie; Ole Frithjof Norheim,Assessing the burden of medical impoverishment by cause: a systematic breakdown by disease in Ethiopia,BMC Medicine,No,14.0,1,164,October,,,2016,"https://pubmed.ncbi.nlm.nih.gov/27769296/#:~:text=The%20top%20three%20causes%20of%20medical%20impoverishment%20were,associated%20with%20illness%20occurrence%20and%20health%20services%20utilization.",,,,,,,,,,,,Summer - Kiki,,abstract-content selected,10/01/2016,Yes,"Verguet Stéphane, Solomon Tessema Memirie and Ole Frithjof Norheim","Verguet Stéphane, Solomon Tessema Memirie and Ole Frithjof Norheim. 2016. Assessing the burden of medical impoverishment by cause: a systematic breakdown by disease in Ethiopia. BMC Medicine 14.0, no. 1 (October): 164."
,Journal Article,21,Stephane,,Verguet,Aayush Khadka; Stéphane Verguet,The economic value of changing mortality risk in low- and middle-income countries: a systematic breakdown by cause of death,BMC Medicine,No,19.0,1,,July,,,2021,https://pubmed.ncbi.nlm.nih.gov/34266420/,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,07/01/2021,Yes,Khadka Aayush and Stéphane Verguet,"Khadka Aayush and Stéphane Verguet. 2021. The economic value of changing mortality risk in low- and middle-income countries: a systematic breakdown by cause of death. BMC Medicine 19.0, no. 1 (July): nan."
,Journal Article,119,Goodarz,,Danaei,Hassan Saadati; Hamid Reza Baradaran; Goodarz Danaei; Afshin Ostovar; Farzad Hadaegh; Leila Janani; Ewout W Steyerberg; Davood Khalili,Iranian general populations' and health care providers' preferences for benefits and harms of statin therapy for primary prevention of cardiovascular disease,BMC Medical Infornmatics and Decision making,,20.0,1,,November,,,2020,https://pubmed.ncbi.nlm.nih.gov/33148227/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,11/01/2020,Yes,"Saadati Hassan, Hamid Reza Baradaran, Goodarz Danaei, Afshin Ostovar, Farzad Hadaegh, Leila Janani, Ewout W Steyerberg and Davood Khalili","Saadati Hassan, Hamid Reza Baradaran, Goodarz Danaei, Afshin Ostovar, Farzad Hadaegh, Leila Janani, Ewout W Steyerberg and Davood Khalili. 2020. Iranian general populations' and health care providers' preferences for benefits and harms of statin therapy for primary prevention of cardiovascular disease. BMC Medical Infornmatics and Decision making 20.0, no. 1 (November): nan."
,Journal Article,31,Kevin,,Croke,Kevin Croke; Deus S Ishengoma; Filbert Francis; Julie Makani; Mathias L Kamugisha; John Lusingu; Martha Lemnge; Horacio Larreguy; Günther Fink; Bruno P Mmbando,"Relationships Between Sickle Cell Trait, Malaria, and Educational Outcomes in Tanzania",BMC Infectious Diseases,No,17.0,1,568,August,,,2017,https://pubmed.ncbi.nlm.nih.gov/28810839/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,08/01/2017,Yes,"Croke Kevin, Deus S Ishengoma, Filbert Francis, Julie Makani, Mathias L Kamugisha, John Lusingu, Martha Lemnge, Horacio Larreguy, Günther Fink and Bruno P Mmbando","Croke Kevin, Deus S Ishengoma, Filbert Francis, Julie Makani, Mathias L Kamugisha, John Lusingu, Martha Lemnge, Horacio Larreguy, Günther Fink and Bruno P Mmbando. 2017. Relationships Between Sickle Cell Trait, Malaria, and Educational Outcomes in Tanzania. BMC Infectious Diseases 17.0, no. 1 (August): 568."
,Journal Article,61,Margaret,Elizabeth,Kruk,Catherine Arsenault; Bereket Yakob; Tizta Tilahun; Tsinuel Girma Nigatu; Girmaye Dinsa; Mirkuzie Woldie; Munir Kassa; Peter Berman; Margaret E Kruk,Patient volume and quality of primary care in Ethiopia: findings from the routine health information system and the 2014 Service Provision Assessment survey,BMC Helath Services Research,No,21.0,1,485,May,,,2021,https://pubmed.ncbi.nlm.nih.gov/34022856/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,05/01/2021,Yes,"Arsenault Catherine, Bereket Yakob, Tizta Tilahun, Tsinuel Girma Nigatu, Girmaye Dinsa, Mirkuzie Woldie, Munir Kassa, Peter Berman and Margaret E Kruk","Arsenault Catherine, Bereket Yakob, Tizta Tilahun, Tsinuel Girma Nigatu, Girmaye Dinsa, Mirkuzie Woldie, Munir Kassa, Peter Berman and Margaret E Kruk. 2021. Patient volume and quality of primary care in Ethiopia: findings from the routine health information system and the 2014 Service Provision Assessment survey. BMC Helath Services Research 21.0, no. 1 (May): 485."
,Journal Article,112,Winnie,,Yip,Haiyan Hu; Weiyan Jian; Hongqiao Fu; Hao Zhang; Jay Pan; Winnie Yip,Health service underutilization and its associated factors for chronic diseases patients in poverty-stricken areas in China: a multilevel analysis,BMC Heath Service Reseach,,21.0,1,,July,,,2021,https://pubmed.ncbi.nlm.nih.gov/34275449/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,07/01/2021,Yes,"Hu Haiyan, Weiyan Jian, Hongqiao Fu, Hao Zhang, Jay Pan and Winnie Yip","Hu Haiyan, Weiyan Jian, Hongqiao Fu, Hao Zhang, Jay Pan and Winnie Yip. 2021. Health service underutilization and its associated factors for chronic diseases patients in poverty-stricken areas in China: a multilevel analysis. BMC Heath Service Reseach 21.0, no. 1 (July): nan."
,Journal Article,21,Stephane,,Verguet,Solomon Tessema Memirie; Stéphane Verguet; Ole F Norheim; Carol Levin; Kjell Arne Johansson,Inequalities in utilization of maternal and child health services in Ethiopia: the role of primary health care,BMC Health Services Research,No,16.0,51,,February,,,2016,https://pubmed.ncbi.nlm.nih.gov/26867540/,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,02/01/2016,Yes,"Memirie Solomon Tessema, Stéphane Verguet, Ole F Norheim, Carol Levin and Kjell Arne Johansson","Memirie Solomon Tessema, Stéphane Verguet, Ole F Norheim, Carol Levin and Kjell Arne Johansson. 2016. Inequalities in utilization of maternal and child health services in Ethiopia: the role of primary health care. BMC Health Services Research 16.0, no. 51 (February): nan."
